ShowID,Type,Title,Country,ReleaseYear,DateAdded,Rating,Genre,DurationMinutes,Seasons
s287,Movie,Title_287,France,2023,2023-10-08,TV-MA,Crime,60.0,
s506,Movie,Title_506,United States,2021,2021-10-13,TV-14,Sci-Fi,135.0,
s321,Movie,Title_321,Australia,2023,2024-06-21,TV-PG,Drama,153.0,
s166,TV Show,Title_166,France,2019,2019-05-07,PG-13,Drama,,1.0
s312,TV Show,Title_312,United Kingdom,2017,2018-09-21,R,Kids,,6.0
s315,Movie,Title_315,Germany,2022,2022-11-25,TV-MA,Documentary,96.0,
s335,Movie,Title_335,India,2018,2020-06-20,TV-MA,Action,178.0,
s126,Movie,Title_126,United Kingdom,2022,2023-09-25,TV-MA,Horror,116.0,
s57,TV Show,Title_57,France,2021,2022-02-25,PG-13,Drama,,6.0
s174,TV Show,Title_174,Japan,2022,2023-09-17,PG,Drama,,4.0
s284,Movie,Title_284,Canada,2010,2012-10-06,R,Horror,164.0,
s366,TV Show,Title_366,Canada,2020,2021-05-16,TV-14,Sci-Fi,,3.0
s428,TV Show,Title_428,Spain,2022,2023-05-10,PG-13,Kids,,4.0
s289,Movie,Title_289,Japan,2023,2024-12-09,TV-PG,Comedy,110.0,
s518,Movie,Title_518,Canada,2018,2018-11-06,TV-MA,Kids,153.0,
s274,TV Show,Title_274,Mexico,2015,2017-01-25,TV-14,Drama,,7.0
s303,Movie,Title_303,Mexico,2009,2010-04-08,R,Kids,142.0,
s687,Movie,Title_687,India,2017,2017-11-11,TV-14,Anime,112.0,
s712,TV Show,Title_712,Canada,2014,2014-04-18,R,Romance,,3.0
s112,TV Show,Title_112,Brazil,2018,2020-12-27,TV-MA,Sci-Fi,,8.0
s476,Movie,Title_476,,2022,2024-06-09,R,Romance,140.0,
s224,TV Show,Title_224,France,2024,2024-09-22,TV-Y,Comedy,,7.0
s201,TV Show,Title_201,United States,2016,2017-05-18,TV-14,Drama,,8.0
s107,Movie,Title_107,United States,2021,2023-04-12,TV-PG,Horror,150.0,
s691,TV Show,Title_691,South Korea,2014,2014-10-16,TV-MA,Crime,,5.0
s770,Movie,Title_770,Canada,2020,2022-12-21,TV-MA,Romance,119.0,
s776,Movie,Title_776,South Korea,2018,2020-11-05,TV-14,Romance,140.0,
s671,Movie,Title_671,Canada,2020,2020-08-19,G,Documentary,131.0,
s605,Movie,Title_605,France,2015,2015-02-17,TV-Y,Anime,177.0,
s499,Movie,Title_499,Spain,2024,2024-12-09,TV-MA,Crime,108.0,
s52,Movie,Title_52,South Korea,2022,2024-11-10,TV-PG,Horror,174.0,
s618,Movie,Title_618,France,2020,2020-08-01,TV-MA,Sci-Fi,85.0,
s640,Movie,Title_640,India,2020,2022-10-09,TV-Y7,Documentary,144.0,
s247,TV Show,Title_247,United Kingdom,2022,2022-11-08,TV-MA,Drama,,3.0
s714,Movie,Title_714,South Korea,2017,2019-01-06,TV-14,Documentary,82.0,
s19,Movie,Title_19,India,2022,2024-10-21,TV-14,Sci-Fi,109.0,
s81,Movie,Title_81,United States,2023,2023-11-06,R,Thriller,134.0,
s653,Movie,Title_653,Australia,2020,2022-12-22,TV-PG,Documentary,89.0,
s655,Movie,Title_655,Brazil,2019,2019-12-12,TV-14,Romance,177.0,
s602,TV Show,Title_602,Japan,2021,2022-06-07,PG,Sci-Fi,,2.0
s502,Movie,Title_502,United Kingdom,2017,2017-08-19,TV-MA,Action,110.0,
s318,Movie,Title_318,Mexico,2021,2023-04-13,R,Documentary,118.0,
s535,Movie,Title_535,United States,2019,2020-01-05,TV-14,Drama,147.0,
s297,Movie,Title_297,United Kingdom,2022,2024-01-02,TV-PG,Drama,99.0,
s158,Movie,Title_158,United States,2019,2021-10-04,TV-MA,Horror,177.0,
s184,Movie,Title_184,Brazil,2023,2024-10-08,PG-13,Documentary,151.0,
s339,TV Show,Title_339,France,2021,2021-05-24,TV-Y,Action,,5.0
s667,Movie,Title_667,India,2022,2023-06-27,TV-MA,Drama,123.0,
s92,Movie,Title_92,United States,2022,2024-04-21,PG,Kids,173.0,
s31,Movie,Title_31,United Kingdom,2019,2019-03-07,PG,Comedy,130.0,
s488,Movie,Title_488,Mexico,2018,2020-01-21,TV-14,Action,60.0,
s555,Movie,Title_555,India,2020,2020-01-22,TV-14,Thriller,136.0,
s209,Movie,Title_209,Australia,2023,2024-12-25,TV-14,Thriller,61.0,
s722,Movie,Title_722,India,2023,2024-01-05,TV-Y7,Kids,133.0,
s760,TV Show,Title_760,United States,2021,2021-10-21,PG-13,Anime,,5.0
s479,TV Show,Title_479,Japan,2023,2024-12-17,TV-MA,Crime,,1.0
s282,TV Show,Title_282,United States,2019,2021-12-02,TV-MA,Thriller,,3.0
s374,Movie,Title_374,Germany,2021,2022-03-10,TV-PG,Kids,76.0,
s160,Movie,Title_160,Canada,2021,2023-12-02,PG-13,Kids,126.0,
s236,TV Show,Title_236,Australia,2022,2022-07-17,TV-PG,Sci-Fi,,3.0
s638,TV Show,Title_638,South Korea,2017,2019-04-15,PG-13,Crime,,2.0
s442,Movie,Title_442,Canada,2022,2023-11-16,R,Comedy,117.0,
s700,TV Show,Title_700,Germany,2024,2024-03-14,TV-MA,Romance,,8.0
s511,Movie,Title_511,Mexico,2021,2023-01-27,TV-MA,Horror,133.0,
s288,Movie,Title_288,Germany,2019,2019-04-10,TV-MA,Action,67.0,
s131,Movie,Title_131,Australia,2011,2011-11-11,TV-14,Documentary,148.0,
s132,Movie,Title_132,Spain,2015,2017-04-16,TV-MA,Romance,134.0,
s306,TV Show,Title_306,Australia,2008,2009-12-14,TV-MA,Crime,,8.0
s79,TV Show,Title_79,Spain,2022,2023-08-09,TV-PG,Crime,,3.0
s629,TV Show,Title_629,Spain,2018,2019-10-19,TV-MA,Horror,,3.0
s125,TV Show,Title_125,Spain,2021,2022-07-09,PG-13,Drama,,7.0
s40,Movie,Title_40,Brazil,2022,2023-08-08,TV-14,Action,88.0,
s469,Movie,Title_469,Canada,2014,2016-11-15,PG,Thriller,111.0,
s309,TV Show,Title_309,Canada,2016,2016-03-09,PG,Documentary,,6.0
s328,TV Show,Title_328,,2023,2023-04-17,TV-PG,Action,,6.0
s356,TV Show,Title_356,Japan,2020,2021-02-20,PG-13,Sci-Fi,,5.0
s596,Movie,Title_596,Germany,2016,2018-01-18,TV-MA,Romance,116.0,
s301,TV Show,Title_301,Japan,2015,2016-03-24,G,Sci-Fi,,1.0
s547,Movie,Title_547,United Kingdom,2022,2024-04-24,TV-MA,Drama,96.0,
s416,Movie,Title_416,Canada,2024,2024-01-23,TV-14,Horror,98.0,
s51,TV Show,Title_51,India,2018,2020-12-01,TV-PG,Crime,,8.0
s313,Movie,Title_313,Spain,2015,2015-07-18,G,Action,143.0,
s788,TV Show,Title_788,South Korea,2021,2021-03-18,PG,Comedy,,4.0
s544,TV Show,Title_544,India,2016,2018-04-20,R,Kids,,1.0
s41,Movie,Title_41,Germany,2020,2021-03-15,,Thriller,106.0,
s443,Movie,Title_443,France,2020,2020-05-11,TV-MA,Kids,90.0,
s168,Movie,Title_168,Mexico,2010,2012-01-01,,Drama,134.0,
s127,Movie,Title_127,United Kingdom,2024,2024-12-22,TV-Y7,Thriller,124.0,
s254,Movie,Title_254,Spain,2015,2017-12-19,PG-13,Romance,61.0,
s739,Movie,Title_739,United Kingdom,2020,2021-03-09,G,Drama,67.0,
s694,Movie,Title_694,Mexico,2019,2019-02-25,TV-MA,Action,171.0,
s17,Movie,Title_17,Brazil,2020,2020-06-22,PG-13,Crime,75.0,
s293,Movie,Title_293,France,2019,2019-08-08,TV-MA,Comedy,93.0,
s274,TV Show,Title_274,Mexico,2015,2017-01-25,TV-14,Drama,,7.0
s234,TV Show,Title_234,United Kingdom,2016,2018-01-26,R,Anime,,3.0
s609,Movie,Title_609,Germany,2019,2020-11-01,TV-14,Documentary,91.0,
s516,Movie,Title_516,Brazil,2019,2020-01-02,TV-MA,Sci-Fi,70.0,
s431,Movie,Title_431,South Korea,2015,2016-05-12,TV-14,Sci-Fi,135.0,
s42,Movie,Title_42,Canada,2012,2014-04-03,TV-Y,Horror,173.0,
s447,TV Show,Title_447,Canada,2008,2008-12-19,TV-Y7,Anime,,2.0
s110,Movie,Title_110,South Korea,2020,2021-09-21,TV-14,Anime,171.0,
s597,Movie,Title_597,Spain,2024,2024-01-11,PG-13,Romance,106.0,
s610,Movie,Title_610,Spain,2017,2019-06-05,TV-14,Thriller,108.0,
s575,Movie,Title_575,United Kingdom,2008,2009-04-23,PG-13,Documentary,122.0,
s567,Movie,Title_567,Canada,2014,2014-05-04,TV-PG,Crime,176.0,
s36,Movie,Title_36,United Kingdom,2016,2017-08-08,TV-14,Action,75.0,
s246,Movie,Title_246,Canada,2013,2015-10-21,TV-PG,Horror,85.0,
s690,Movie,Title_690,South Korea,2018,2019-07-03,TV-MA,Drama,76.0,
s608,Movie,Title_608,Germany,2020,2021-09-18,PG,Documentary,170.0,
s393,Movie,Title_393,United States,2024,2024-10-01,R,Comedy,155.0,
s346,Movie,Title_346,Mexico,2008,2008-03-10,R,Comedy,90.0,
s631,Movie,Title_631,United Kingdom,2022,2023-02-25,TV-PG,Crime,72.0,
s295,Movie,Title_295,Mexico,2020,2022-12-08,R,Documentary,62.0,
s757,TV Show,Title_757,United Kingdom,2020,2022-09-14,TV-14,Documentary,,1.0
s707,TV Show,Title_707,Germany,2024,2024-10-24,TV-Y7,Documentary,,6.0
s405,Movie,Title_405,India,2021,2021-04-21,PG,Crime,131.0,
s59,Movie,Title_59,Canada,2017,2017-01-02,TV-MA,Romance,106.0,
s588,Movie,Title_588,Canada,2023,2024-03-15,G,Romance,126.0,
s537,Movie,Title_537,Brazil,2023,2023-08-21,,Horror,71.0,
s705,TV Show,Title_705,Japan,2021,2023-09-11,TV-14,Horror,,4.0
s731,Movie,Title_731,Canada,2023,2023-02-24,PG,Horror,104.0,
s33,Movie,Title_33,United Kingdom,2022,2024-03-27,TV-14,Horror,116.0,
s600,Movie,Title_600,Brazil,2023,2024-01-06,TV-PG,Horror,137.0,
s366,TV Show,Title_366,Canada,2020,2021-05-16,TV-14,Sci-Fi,,3.0
s685,Movie,Title_685,United Kingdom,2015,2017-08-06,TV-Y,Documentary,130.0,
s414,Movie,Title_414,Canada,2022,2023-05-16,TV-14,Romance,156.0,
s662,Movie,Title_662,Canada,2010,2012-10-18,TV-MA,Horror,166.0,
s343,TV Show,Title_343,Brazil,2023,2024-01-01,TV-14,Horror,,4.0
s84,Movie,Title_84,United Kingdom,2015,2017-05-25,G,Horror,97.0,
s90,Movie,Title_90,Australia,2023,2024-03-06,TV-MA,Crime,169.0,
s792,Movie,Title_792,Brazil,2014,2015-06-25,TV-14,Thriller,155.0,
s522,Movie,Title_522,France,2024,2024-01-07,TV-MA,Kids,61.0,
s745,Movie,Title_745,Spain,2024,2024-02-02,TV-MA,Anime,127.0,
s186,Movie,Title_186,United Kingdom,2021,2022-12-20,TV-14,Anime,87.0,
s177,TV Show,Title_177,Mexico,2022,2024-08-01,TV-PG,Sci-Fi,,8.0
s682,Movie,Title_682,Brazil,2013,2013-07-08,,Action,124.0,
s195,TV Show,Title_195,Japan,2021,2021-10-07,PG,Kids,,6.0
s164,Movie,Title_164,France,2022,2023-09-27,TV-MA,Anime,127.0,
s617,Movie,Title_617,Japan,2022,2022-11-26,TV-Y,Romance,95.0,
s737,Movie,Title_737,United States,2024,2024-01-12,TV-14,Thriller,123.0,
s333,Movie,Title_333,Canada,2023,2023-07-13,PG-13,Action,81.0,
s211,Movie,Title_211,South Korea,2017,2019-10-05,TV-14,Documentary,147.0,
s569,Movie,Title_569,Brazil,2024,2024-08-08,PG,Kids,125.0,
s77,Movie,Title_77,United States,2023,2024-11-14,TV-14,Anime,167.0,
s639,TV Show,Title_639,Australia,2018,2018-09-24,TV-MA,Kids,,2.0
s711,TV Show,Title_711,South Korea,2020,2020-08-19,TV-14,Documentary,,6.0
s307,Movie,Title_307,Mexico,2008,2009-06-04,PG-13,Action,93.0,
s94,Movie,Title_94,Japan,2023,2023-11-07,TV-MA,Horror,144.0,
s584,Movie,Title_584,Japan,2008,2008-04-08,TV-MA,Sci-Fi,154.0,
s722,Movie,Title_722,India,2023,2024-01-05,TV-Y7,Kids,133.0,
s375,TV Show,Title_375,Japan,2024,2024-02-19,TV-MA,Sci-Fi,,6.0
s777,TV Show,Title_777,Canada,2015,2017-04-23,G,Sci-Fi,,6.0
s1,TV Show,Title_1,Canada,2009,2009-11-05,PG-13,Kids,,6.0
s582,TV Show,Title_582,Spain,2018,2020-02-02,TV-14,Sci-Fi,,4.0
s388,TV Show,Title_388,Japan,2023,2023-03-02,PG,Thriller,,7.0
s205,Movie,Title_205,France,2020,2020-11-06,TV-MA,Drama,77.0,
s182,Movie,Title_182,Canada,2016,2016-02-08,TV-14,Kids,153.0,
s734,Movie,Title_734,India,2019,2019-02-24,TV-MA,Action,121.0,
s219,TV Show,Title_219,United States,2019,2019-04-06,TV-14,Action,,8.0
s697,TV Show,Title_697,Japan,2020,2020-07-20,TV-Y,Comedy,,4.0
s330,Movie,Title_330,France,2017,2018-11-14,R,Horror,155.0,
s493,Movie,Title_493,United Kingdom,2019,2020-08-26,TV-PG,Documentary,139.0,
s758,Movie,Title_758,South Korea,2021,2021-04-02,TV-MA,Action,106.0,
s93,Movie,Title_93,France,2015,2017-12-18,TV-Y,Comedy,122.0,
s590,Movie,Title_590,Canada,2023,2024-12-22,TV-PG,Comedy,63.0,
s470,Movie,Title_470,India,2020,2022-04-13,R,Sci-Fi,148.0,
s574,Movie,Title_574,Canada,2024,2024-11-15,TV-MA,Anime,162.0,
s80,TV Show,Title_80,Australia,2016,2018-04-17,R,Sci-Fi,,2.0
s510,Movie,Title_510,United Kingdom,2019,2019-12-27,R,Crime,138.0,
s593,TV Show,Title_593,France,2019,2021-01-19,TV-14,Documentary,,3.0
s526,Movie,Title_526,Mexico,2022,2023-07-03,TV-MA,Sci-Fi,168.0,
s285,Movie,Title_285,South Korea,2024,2024-10-09,TV-14,Comedy,83.0,
s163,TV Show,Title_163,Mexico,2024,2024-08-20,TV-MA,Crime,,8.0
s507,TV Show,Title_507,Japan,2014,2015-05-10,PG-13,Horror,,8.0
s251,TV Show,Title_251,Mexico,2023,2023-05-03,PG-13,Anime,,7.0
s385,Movie,Title_385,South Korea,2019,2019-03-16,TV-MA,Crime,169.0,
s225,Movie,Title_225,Japan,2017,2018-08-15,TV-MA,Romance,64.0,
s403,TV Show,Title_403,India,2024,2024-04-20,TV-PG,Anime,,2.0
s659,Movie,Title_659,Canada,2018,2019-09-07,TV-MA,Crime,106.0,
s354,Movie,Title_354,United Kingdom,2023,2023-11-11,TV-14,Horror,133.0,
s421,Movie,Title_421,Canada,2009,2010-01-13,TV-MA,Documentary,100.0,
s752,Movie,Title_752,France,2019,2020-01-18,TV-PG,Comedy,178.0,
s329,Movie,Title_329,South Korea,2022,2024-10-04,TV-14,Anime,163.0,
s563,Movie,Title_563,Germany,2017,2019-06-22,TV-14,Comedy,122.0,
s412,TV Show,Title_412,South Korea,2023,2024-06-16,TV-14,Crime,,3.0
s472,TV Show,Title_472,India,2020,2020-10-14,TV-Y7,Horror,,3.0
s509,Movie,Title_509,South Korea,2021,2021-01-05,TV-MA,Thriller,94.0,
s726,Movie,Title_726,Germany,2020,2021-05-13,TV-MA,Documentary,171.0,
s532,Movie,Title_532,France,2019,2021-09-01,TV-MA,Kids,77.0,
s651,TV Show,Title_651,Australia,2020,2022-01-06,TV-MA,Anime,,4.0
s740,TV Show,Title_740,South Korea,2015,2017-04-25,TV-14,Drama,,3.0
s487,Movie,Title_487,Germany,2024,2024-06-16,TV-PG,Action,149.0,
s513,Movie,Title_513,Australia,2018,2020-09-08,TV-MA,Crime,172.0,
s654,Movie,Title_654,Germany,2024,2024-05-23,TV-14,Documentary,81.0,
s396,TV Show,Title_396,South Korea,2023,2023-02-24,TV-PG,Romance,,5.0
s373,Movie,Title_373,United States,2016,2016-07-11,R,Action,101.0,
s67,Movie,Title_67,Spain,2019,2019-12-26,TV-PG,Sci-Fi,155.0,
s781,TV Show,Title_781,United States,2023,2024-07-26,TV-14,Thriller,,2.0
s336,Movie,Title_336,South Korea,2009,2011-06-03,TV-MA,Drama,105.0,
s632,Movie,Title_632,Germany,2017,2019-02-17,TV-MA,Anime,176.0,
s440,TV Show,Title_440,Japan,2019,2019-10-01,R,Kids,,3.0
